there	was	3
there	once	1
there	a	1
there	very	1
there	rich	1
there	merchant	1
was	once	1
was	a	9
was	very	2
was	rich	2
was	merchant	4
once	a	1
once	very	1
once	rich	1
once	merchant	2
a	very	3
a	rich	1
a	merchant	3
very	rich	1
very	merchant	1
rich	merchant	1
who	had	1
who	six	1
who	children	1
had	six	1
had	children	1
six	children	1
three	sons	2
three	and	3
and	daughters	2
three	daughters	1
a	being	2
being	man	1
being	of	1
being	sense	1
a	man	3
a	of	27
a	sense	1
man	of	2
man	sense	1
of	sense	1
he	spared	1
he	no	5
he	cost	1
he	for	2
he	their	1
he	education	1
spared	no	1
spared	cost	1
spared	for	1
spared	their	1
spared	education	1
no	cost	1
no	for	2
no	their	1
no	education	1
cost	for	1
cost	their	1
cost	education	1
for	their	5
for	education	1
their	education	1
but	gave	2
but	them	2
but	all	1
but	kinds	1
of	but	16
but	masters	1
gave	them	1
gave	all	1
gave	kinds	1
of	gave	1
gave	masters	1
them	all	2
them	kinds	1
of	them	9
them	masters	1
all	kinds	1
of	all	6
all	masters	1
of	kinds	1
kinds	masters	1
of	masters	1
daughters	his	3
his	were	1
his	extremely	1
his	handsome	1
daughters	were	1
daughters	extremely	1
daughters	handsome	1
were	extremely	1
were	handsome	1
extremely	handsome	2
especially	the	1
especially	youngest	1
the	youngest	2
when	she	7
was	when	5
when	little	1
was	she	23
she	little	2
was	little	1
every	body	3
every	admired	1
every	her	5
body	admired	1
body	her	1
admired	her	2
and	called	1
and	her	21
and	the	49
and	little	7
and	beauty	11
her	called	1
the	called	1
little	called	1
called	beauty	1
the	her	26
little	her	1
her	beauty	6
the	little	3
the	beauty	13
little	beauty	1
so	that	5
she	as	13
as	grew	1
as	up	1
she	grew	2
she	up	2
grew	up	1
she	still	1
she	went	2
she	by	2
the	she	22
she	name	1
of	she	12
she	beauty	3
still	went	1
still	by	1
the	still	2
still	name	1
of	still	1
beauty	still	2
went	by	1
the	went	8
went	name	1
of	went	4
beauty	went	2
the	by	4
by	name	1
of	by	3
beauty	by	1
the	name	1
of	the	50
of	name	1
beauty	name	1
of	beauty	7
which	made	1
her	which	1
which	sisters	1
very	which	1
which	jealous	1
her	made	2
made	sisters	1
very	made	1
made	jealous	2
her	sisters	15
very	her	4
her	jealous	2
very	sisters	2
sisters	jealous	1
very	jealous	1
was	as	10
handsome	as	1
handsome	she	1
was	handsome	1
was	also	1
was	better	1
was	than	1
was	her	7
was	sisters	2
also	better	1
also	than	1
her	also	1
sisters	also	1
better	than	2
her	better	1
sisters	better	1
her	than	1
sisters	than	2
the	two	7
the	eldest	8
had	the	19
a	the	14
the	great	8
the	deal	1
the	pride	2
two	eldest	5
had	two	2
a	two	2
two	great	1
two	deal	1
of	two	2
two	pride	1
had	eldest	3
a	eldest	2
eldest	great	1
eldest	deal	1
of	eldest	2
eldest	pride	1
a	had	12
had	great	3
had	deal	1
had	of	10
had	pride	1
a	great	13
a	deal	4
a	pride	1
great	deal	4
of	great	8
great	pride	1
of	deal	5
deal	pride	1
of	pride	3
because	they	2
were	because	1
rich	because	1
were	they	8
rich	they	1
rich	were	1
gave	they	1
they	themselves	1
they	ridiculous	1
they	airs	1
gave	themselves	1
gave	ridiculous	1
gave	airs	1
themselves	ridiculous	1
themselves	airs	2
ridiculous	airs	1
and	would	1
and	not	11
and	visit	1
and	other	2
and	merchants	1
would	not	6
would	visit	1
would	other	1
would	merchants	1
daughters	would	1
not	visit	1
not	other	1
not	merchants	1
daughters	not	1
visit	other	1
visit	merchants	1
daughters	visit	1
other	merchants	1
daughters	other	1
daughters	merchants	1
nor	keep	1
nor	company	1
nor	with	1
nor	any	1
but	nor	1
nor	persons	1
of	nor	1
nor	quality	1
keep	company	1
keep	with	1
keep	any	1
but	keep	1
keep	persons	1
of	keep	1
keep	quality	1
company	with	1
company	any	1
but	company	1
company	persons	1
of	company	1
company	quality	1
with	any	1
but	with	8
with	persons	1
of	with	4
with	quality	1
but	any	2
any	persons	1
of	any	2
any	quality	1
but	persons	1
but	quality	1
of	persons	1
persons	quality	1
of	quality	1
went	they	6
they	out	2
every	they	1
they	day	1
they	upon	1
they	parties	1
of	they	7
they	pleasure	1
went	out	3
every	went	1
went	day	1
went	upon	1
went	parties	1
went	pleasure	1
every	out	1
out	day	1
out	upon	1
out	parties	1
of	out	4
out	pleasure	1
every	day	1
every	upon	1
every	parties	1
of	every	2
every	pleasure	1
day	upon	1
day	parties	1
of	day	1
day	pleasure	1
upon	parties	1
of	upon	1
upon	pleasure	1
of	parties	1
parties	pleasure	1
of	pleasure	2
and	laughed	1
and	at	11
and	their	13
and	youngest	1
and	sister	2
laughed	at	1
their	laughed	1
youngest	laughed	1
laughed	sister	1
their	at	1
youngest	at	1
at	sister	1
their	youngest	1
their	sister	4
youngest	sister	2
she	because	2
because	spent	1
the	because	1
because	greatest	1
because	part	1
of	because	1
her	because	1
because	time	1
because	in	1
because	reading	1
because	good	1
because	books	1
she	spent	2
